INDEX,TARGET_FLAG,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,0,0,60.0,0,11.0,67349.0,No,0.0,z_No,M,PhD,Professional,14,Private,14230.0,11,Minivan,yes,4461.0,2,No,3,18.0,Highly Urban/ Urban
2,0,0,43.0,0,11.0,91449.0,No,257252.0,z_No,M,z_High School,z_Blue Collar,22,Commercial,14940.0,1,Minivan,yes,0.0,0,No,0,1.0,Highly Urban/ Urban
4,0,0,35.0,1,10.0,16039.0,No,124191.0,Yes,z_F,z_High School,Clerical,5,Private,4010.0,4,z_SUV,no,38690.0,2,No,3,10.0,Highly Urban/ Urban
5,0,0,51.0,0,14.0,61898.0946086055,No,306251.0,Yes,M,<High School,z_Blue Collar,32,Private,15440.0,7,Minivan,yes,0.0,0,No,0,6.0,Highly Urban/ Urban
6,0,0,50.0,0,10.499286363046581,114986.0,No,243925.0,Yes,z_F,PhD,Doctor,36,Private,18000.0,1,z_SUV,no,19217.0,2,Yes,3,17.0,Highly Urban/ Urban
7,1,0,34.0,1,12.0,125301.0,Yes,0.0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,17430.0,1,Sports Car,no,0.0,0,No,0,7.0,Highly Urban/ Urban
8,0,0,54.0,0,10.499286363046581,18755.0,No,154867.2897232688,Yes,z_F,<High School,z_Blue Collar,33,Private,8780.0,1,z_SUV,no,0.0,0,No,0,1.0,Highly Urban/ Urban
11,1,1,37.0,2,10.499286363046581,107961.0,No,333680.0,Yes,M,Bachelors,z_Blue Collar,44,Commercial,16970.0,1,Van,yes,2374.0,1,Yes,10,7.0,Highly Urban/ Urban
12,1,0,34.0,0,10.0,62978.0,No,0.0,z_No,z_F,Bachelors,Clerical,34,Private,11200.0,1,z_SUV,no,0.0,0,No,0,1.0,Highly Urban/ Urban
13,0,0,50.0,0,7.0,106952.0,No,0.0,z_No,M,Bachelors,Professional,48,Commercial,18510.0,7,Van,no,0.0,0,No,1,17.0,z_Highly Rural/ Rural
14,1,0,53.0,0,14.0,77100.0,No,0.0,z_No,z_F,Masters,Lawyer,15,Private,18300.0,1,Sports Car,no,0.0,0,No,0,11.0,Highly Urban/ Urban
15,0,0,43.0,0,5.0,52642.0,No,209970.0,Yes,z_F,Masters,Professional,36,Private,22420.0,7,Minivan,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural
16,0,0,55.0,0,11.0,59162.0,No,180232.0,Yes,M,Bachelors,Manager,25,Commercial,17600.0,7,Van,yes,5028.0,2,Yes,3,9.0,Highly Urban/ Urban
17,1,0,53.0,0,11.0,130795.0,No,0.0,z_No,M,PhD,z_Blue Collar,64,Commercial,28340.0,6,Panel Truck,yes,0.0,0,No,3,10.0,Highly Urban/ Urban
19,1,0,45.0,0,0.0,0.0,No,106859.0,Yes,z_F,<High School,Home Maker,48,Private,6000.0,1,z_SUV,no,0.0,0,No,3,5.0,Highly Urban/ Urban
20,0,0,39.0,3,12.0,51884.0,Yes,180951.0,z_No,z_F,Bachelors,Clerical,43,Private,10590.0,6,z_SUV,no,0.0,0,No,0,13.0,z_Highly Rural/ Rural
22,0,0,42.0,0,11.0,59945.0,No,192207.0,Yes,M,Masters,Lawyer,42,Private,14190.0,6,Minivan,no,0.0,0,No,0,16.0,Highly Urban/ Urban
23,0,0,34.0,3,13.0,34019.0,No,91875.0,Yes,z_F,Masters,Lawyer,27,Private,8300.0,7,z_SUV,no,0.0,0,No,0,20.0,Highly Urban/ Urban
24,0,0,31.0,2,12.0,18903.0,No,93797.0,Yes,z_F,<High School,Clerical,48,Private,17330.0,4,Minivan,no,0.0,0,No,0,7.0,Highly Urban/ Urban
25,1,0,28.0,1,13.0,44077.0,No,170598.0,Yes,z_F,z_High School,z_Blue Collar,29,Commercial,8710.0,6,z_SUV,no,8935.0,2,No,0,1.0,Highly Urban/ Urban
